AWARD_ID,AWARD_NAME,PLAYER_NAME
43,Player of the Week17,Kawhi Leonard
44,Player of the Week18,Karl-Anthony Towns
45,Player of the Week19,Damian Lillard 
46,Player of the Week20,James Harden
47,Player of the Week21,Stephen Curry
48,Player of the Week22,Russell Westbrook
49,Most Valuable Player,Russell Westbrook 
50,Defensive Player of the Year,Draymond Green
51,Rookie of the Year,Malcolm Brogdon
52,Sixth Man of the Year,Eric Gordon
53,Most Improved Player,Giannis Antetokounmpo
54,Coach of the Year,Mike D'Antoni
55,Executive of the Year,Bob Myers
56,NBA Sportsmanship Award,Kemba Walker 
57,Community Assist Award,Isaiah Thomas
